H,S
8.2,160.4
17.0,94.6
73.1,195.3
141.2,206.6
3.0,210.7
16.4,120.6
142.0,205.8
174.2,194.4
5.6,182.2
15.8,116.8
73.8,158.0
174.4,159.8
6.0,175.6
15.6,105.0
15.0,67.4,5
63.8,212.1,0
26.4,189.3,11
15.9,96.6,10
11.6,102.1
47.2,202.0
54.8,220.0
12.7,123.2
43.62,131.88
22.2,209.7
11.2,97.5
11.8,116.6
13.2,100.8
57.4,227.4
51.8,235.8
12.4,110.2
11.2,90.0
50.8,183.6
39.0,217.0
13.0,109.4
17.0,92.8
43.6,157.2
3.6,217.6
11.8,111.4
11.6,93.6
52.2,201.0
32.8,220.2
13.6,119.8
10.8,80.0
48.0,130.4
4.4,216.4
13.0,110.2
16.8,108.6
45.4,188.6
37.4,224.6
13.6,133.6
21.4,115.4
38.2,154.2
5.0,219.8
13.0,119.4
13.6,108.9
46.6,200.6
37.3,223.7
13.9,124.9
13.6,111.8
46.2,201.5
8.7,194.7
14.0,124.2
14.4,101.6
41.6,186.0
8.4,218.6
14.6,136.6
13.2,91.9
41.2,168.2
18.0,218.6
13.0,124.3
13.8,111.6
46.0,192.6
10.4,225.0
13.0,104.6
15.3,113.5
46.1,184.7
45.0,221.7
13.2,124.6
15.0,116.0
44.4,199.4
33.6,231.8
14.6,135.2
14.9,117.7
46.8,197.9
19.8,224.3
14.5,138.9
13.9,108.8
53.7,220.6
9.3,211.6
13.2,103.8
13.6,101.4
42.2,188.4
9.4,192.0
13.8,118.4
12.6,123.4
7.0,216.7
3.8,202.3
18.7,132.4
12.5,144.3
6.1,214.8
5.5,182.7
18.5,124.4
11.3,126.0
6.7,192.7
4.0,175.8
21.3,128.1
12.5,133.4
37.6,223.4
4.7,180.3
16.5,123.8
12.2,117.9
4.8,181.6
6.4,167.0
20.9,134.6
12.4,138.6
4.6,214.2
4.2,195.8
18.0,124.8
12.7,122.9
8.1,205.4
6.0,185.1
19.7,138.9
12.9,117.2
7.1,174.9
7.7,162.7
22.1,132.7
11.9,133.1
7.1,215.3
5.2,185.0
19.4,133.2
12.5,134.0
3.3,225.1
3.7,196.8
18.4,132.3
12.4,130.6
7.0,205.8
6.3,172.9
22.1,138.9
13.2,120.0
6.0,181.6
6.6,166.8
21.4,125.8
12.8,131.0
21.6,216.5
5.4,185.0
21.6,145.5
12.4,121.8
6.4,181.6
6.6,184.0
20.6,136.8
12.1,149.4
7.8,225.7
5.5,191.0
18.1,138.0
14.6,120.8
12.2,181.4
8.4,156.2
19.4,120.2
12.0,119.6
6.2,182.2
6.0,164.8
19.8,123.6
11.3,122.6
6.7,210.1
6.2,182.9
21.7,134.2
